Indicator Code: CG0730
"Indicator Name: Prostate cancer"
Export date: 11/14/2025 1:58:18 AM
Source location: "WHO Mortality Database portal"
"Indicator metadata: C61"

Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
EU,Europe,ALB,Albania,1994,All,Age30_34,[30-34],2.00000000,0.77220077,,0.78864353,
EU,Europe,ALB,Albania,1994,All,Age35_39,[35-39],1.00000000,0.41841004,,0.43047783,
EU,Europe,ALB,Albania,1994,All,Age40_44,[40-44],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1994,All,Age45_49,[45-49],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1994,All,Age50_54,[50-54],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1994,All,Age55_59,[55-59],7.00000000,1.03550296,,5.79950290,
EU,Europe,ALB,Albania,1994,All,Age60_64,[60-64],13.00000000,1.34158927,,13.42975207,
EU,Europe,ALB,Albania,1994,All,Age65_69,[65-69],10.00000000,0.84104289,,13.53179973,
EU,Europe,ALB,Albania,1994,All,Age70_74,[70-74],17.00000000,1.00770599,,31.13553114,
EU,Europe,ALB,Albania,1994,All,Age75_79,[75-79],16.00000000,1.00819156,,47.47774481,
EU,Europe,ALB,Albania,1994,All,Age80_84,[80-84],9.00000000,0.52113492,,43.06220096,
EU,Europe,ALB,Albania,1994,All,Age85_over,[85+],7.00000000,0.41866029,,70.70707071,
EU,Europe,ALB,Albania,1994,All,Age_unknown,[Unknown],3.00000000,1.03806228,,,
EU,Europe,ALB,Albania,1994,Male,Age_all,[All],91.00000000,1.03151213,8.74917240,5.73698147,
EU,Europe,ALB,Albania,1994,Male,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1994,Male,Age01_04,[1-4],1.00000000,0.23094688,,0.68965517,
EU,Europe,ALB,Albania,1994,Male,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1994,Male,Age10_14,[10-14],1.00000000,1.00000000,,0.55897149,
EU,Europe,ALB,Albania,1994,Male,Age15_19,[15-19],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1994,Male,Age20_24,[20-24],1.00000000,0.48543689,,0.92336103,
EU,Europe,ALB,Albania,1994,Male,Age25_29,[25-29],3.00000000,1.54639175,,2.80373832,
EU,Europe,ALB,Albania,1994,Male,Age30_34,[30-34],2.00000000,1.13636364,,1.60771704,
EU,Europe,ALB,Albania,1994,Male,Age35_39,[35-39],1.00000000,0.60240964,,0.85251492,
EU,Europe,ALB,Albania,1994,Male,Age40_44,[40-44],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1994,Male,Age45_49,[45-49],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1994,Male,Age50_54,[50-54],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1994,Male,Age55_59,[55-59],7.00000000,1.44927536,,11.04100946,
EU,Europe,ALB,Albania,1994,Male,Age60_64,[60-64],13.00000000,1.90895742,,26.47657841,
EU,Europe,ALB,Albania,1994,Male,Age65_69,[65-69],10.00000000,1.26262626,,28.73563218,
EU,Europe,ALB,Albania,1994,Male,Age70_74,[70-74],17.00000000,1.67818361,,70.53941909,
EU,Europe,ALB,Albania,1994,Male,Age75_79,[75-79],16.00000000,1.71858217,,115.94202899,
EU,Europe,ALB,Albania,1994,Male,Age80_84,[80-84],9.00000000,1.04287370,,115.38461538,
EU,Europe,ALB,Albania,1994,Male,Age85_over,[85+],7.00000000,1.03092784,,233.33333333,
EU,Europe,ALB,Albania,1994,Male,Age_unknown,[Unknown],3.00000000,1.54639175,,,
EU,Europe,ALB,Albania,1995,All,Age_all,[All],82.00000000,0.51061710,3.14840709,2.52393118,
EU,Europe,ALB,Albania,1995,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1995,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1995,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
EU,Europe,ALB,Albania,1995,All,Age10_14,[10-14],0.00000000,0.00000000,,0.00000000,
